saniye,x,y
0.016666666666666666,824,800
0.03333333333333333,824,800
0.05,824,800
0.06666666666666667,824,800
0.08333333333333333,824,800
0.09999999999999999,824,800
0.11666666666666665,824,800
0.13333333333333333,824,800
0.15,824,800
0.16666666666666666,824,800
0.18333333333333332,824,800
0.19999999999999998,824,800
0.21666666666666665,824,800
0.2333333333333333,824,800
0.24999999999999997,824,800
0.26666666666666666,824,800
0.2833333333333333,824,800
0.3,824,800
0.31666666666666665,824,800
0.3333333333333333,824,800
0.35,824,800
0.36666666666666664,824,800
0.3833333333333333,824,800
0.39999999999999997,824,800
0.41666666666666663,824,800
0.4333333333333333,824,800
0.44999999999999996,824,800
0.4666666666666666,824,800
0.4833333333333333,824,800
0.49999999999999994,824,800
0.5166666666666666,824,800
0.5333333333333333,824,800
0.55,824,800
0.5666666666666668,824,800
0.5833333333333335,824,800
0.6000000000000002,824,800
0.6166666666666669,824,800
0.6333333333333336,824,800
0.6500000000000004,824,800
0.6666666666666671,824,800
0.6833333333333338,824,800
0.7000000000000005,828,798
0.7166666666666672,830,797
0.733333333333334,842,794
0.7500000000000007,848,791
0.7666666666666674,852,790
0.7833333333333341,856,788
0.8000000000000008,868,785
0.8166666666666675,875,780
0.8333333333333343,906,755
0.850000000000001,927,736
0.8666666666666677,941,727
0.8833333333333344,991,696
0.9000000000000011,1035,673
0.9166666666666679,1083,646
0.9333333333333346,1126,627
0.9500000000000013,1183,599
0.966666666666668,1211,586
0.9833333333333347,1231,572
1.0000000000000013,1247,563
1.016666666666668,1262,553
1.0333333333333345,1267,548
1.0500000000000012,1269,546
1.0666666666666678,1272,544
1.0833333333333344,1274,541
1.100000000000001,1276,538
1.1166666666666676,1278,536
1.1333333333333342,1279,536
1.1500000000000008,1280,535
1.1666666666666674,1282,532
1.183333333333334,1286,530
1.2000000000000006,1286,530
1.2166666666666672,1286,530
1.2333333333333338,1286,530
1.2500000000000004,1288,528
1.266666666666667,1292,527
1.2833333333333337,1292,525
1.3000000000000003,1292,525
1.3166666666666669,1292,525
1.3333333333333335,1292,525
1.35,1292,525
1.3666666666666667,1292,525
1.3833333333333333,1292,525
1.4,1292,525
1.4166666666666665,1292,525
1.4333333333333331,1293,525
1.4499999999999997,1293,524
1.4666666666666663,1293,524
1.483333333333333,1293,524
1.4999999999999996,1293,524
1.5166666666666662,1293,524
1.5333333333333328,1293,524
1.5499999999999994,1293,524
1.566666666666666,1293,524
1.5833333333333326,1293,524
1.5999999999999992,1293,524
1.6166666666666658,1293,524
1.6333333333333324,1293,524
1.649999999999999,1293,524
1.6666666666666656,1293,524
1.6833333333333322,1293,524
1.6999999999999988,1294,524
1.7166666666666655,1294,528
1.733333333333332,1294,531
1.7499999999999987,1294,535
1.7666666666666653,1292,538
1.7833333333333319,1291,541
1.7999999999999985,1288,541
1.816666666666665,1287,541
1.8333333333333317,1278,541
1.8499999999999983,1272,541
1.866666666666665,1266,536
1.8833333333333315,1263,534
1.8999999999999981,1250,523
1.9166666666666647,1242,510
1.9333333333333313,1240,505
1.949999999999998,1237,499
1.9666666666666646,1236,493
1.9833333333333312,1236,490
1.9999999999999978,1236,485
2.0166666666666644,1236,474
2.033333333333331,1239,471
2.0499999999999976,1241,463
2.066666666666664,1243,457
2.083333333333331,1254,445
2.0999999999999974,1261,438
2.116666666666664,1269,432
2.1333333333333306,1281,427
2.1499999999999972,1287,425
2.166666666666664,1306,424
2.1833333333333305,1321,424
2.199999999999997,1339,424
2.2166666666666637,1359,432
2.2333333333333303,1381,442
2.249999999999997,1403,454
2.2666666666666635,1430,470
2.28333333333333,1438,474
2.2999999999999967,1451,484
2.3166666666666633,1459,496
2.33333333333333,1464,502
2.3499999999999965,1466,508
2.366666666666663,1470,518
2.3833333333333298,1470,522
2.3999999999999964,1470,532
2.416666666666663,1468,538
2.4333333333333296,1461,544
2.449999999999996,1460,546
2.466666666666663,1455,549
2.4833333333333294,1438,555
2.499999999999996,1432,556
2.5166666666666626,1422,556
2.533333333333329,1414,556
2.549999999999996,1407,556
2.5666666666666624,1400,556
2.583333333333329,1393,556
2.5999999999999956,1389,556
2.6166666666666623,1384,551
2.633333333333329,1377,546
2.6499999999999955,1375,538
2.666666666666662,1371,530
2.6833333333333287,1370,528
2.6999999999999953,1369,521
2.716666666666662,1366,509
2.7333333333333285,1363,492
2.749999999999995,1363,482
2.7666666666666617,1363,472
2.7833333333333283,1363,469
2.799999999999995,1363,464
2.8166666666666615,1370,453
2.833333333333328,1372,450
2.8499999999999948,1377,445
2.8666666666666614,1387,441
2.883333333333328,1397,438
2.8999999999999946,1408,435
2.916666666666661,1416,433
2.933333333333328,1427,433
2.9499999999999944,1432,433
2.966666666666661,1448,433
2.9833333333333276,1458,435
2.9999999999999942,1467,441
3.016666666666661,1474,447
3.0333333333333274,1481,457
3.049999999999994,1484,464
3.0666666666666607,1486,470
3.0833333333333273,1489,479
3.099999999999994,1489,484
3.1166666666666605,1489,489
3.133333333333327,1489,496
3.1499999999999937,1489,505
3.1666666666666603,1486,511
3.183333333333327,1474,521
3.1999999999999935,1473,522
3.21666666666666,1462,530
3.2333333333333267,1454,531
3.2499999999999933,1442,532
3.26666666666666,1439,532
3.2833333333333266,1428,532
3.299999999999993,1425,532
3.3166666666666598,1412,532
3.3333333333333264,1400,527
3.349999999999993,1390,522
3.3666666666666596,1383,517
3.383333333333326,1378,514
3.399999999999993,1371,503
3.4166666666666594,1370,497
3.433333333333326,1369,492
3.4499999999999926,1369,486
3.4666666666666592,1369,482
3.483333333333326,1369,477
3.4999999999999925,1369,469
3.516666666666659,1370,460
3.5333333333333257,1375,453
3.5499999999999923,1377,451
3.566666666666659,1385,441
3.5833333333333255,1393,438
3.599999999999992,1395,437
3.6166666666666587,1408,429
3.6333333333333253,1410,429
3.649999999999992,1426,426
3.6666666666666585,1436,426
3.683333333333325,1440,426
3.6999999999999917,1445,426
3.7166666666666583,1453,426
3.733333333333325,1466,429
3.7499999999999916,1473,435
3.766666666666658,1478,442
3.7833333333333248,1481,448
3.7999999999999914,1487,460
3.816666666666658,1493,470
3.8333333333333246,1494,473
3.849999999999991,1497,485
3.866666666666658,1498,493
3.8833333333333244,1498,502
3.899999999999991,1498,511
3.9166666666666576,1497,517
3.9333333333333242,1496,519
3.949999999999991,1490,527
3.9666666666666575,1485,532
3.983333333333324,1478,540
3.9999999999999907,1471,542
4.016666666666658,1468,544
4.033333333333324,1460,547
4.049999999999991,1457,547
4.0666666666666575,1447,547
4.083333333333324,1435,547
4.099999999999991,1422,544
4.116666666666657,1416,541
4.133333333333324,1398,530
4.149999999999991,1384,519
4.166666666666657,1377,510
4.183333333333324,1371,499
4.19999999999999,1369,489
4.216666666666657,1369,478
4.233333333333324,1369,474
4.24999999999999,1369,457
4.266666666666657,1370,451
4.2833333333333234,1374,446
4.29999999999999,1378,439
4.316666666666657,1387,432
4.333333333333323,1394,428
4.34999999999999,1404,428
4.3666666666666565,1409,427
